event_id,title,question,start_date,end_date,volume,tags,outcomes,outcome_prices,uma_resolution_status,last_trade_price,token_ids
13174,NBA Preseason: Celtics vs. Nuggets,,2024-10-04 15:30:49.005847+00:00,2024-10-04 12:00:00+00:00,4491.532941,"[{'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '100398', 'label': ""Today's Sports"", 'slug': 'todays-sports', 'forceShow': False, 'createdAt': '2024-08-29T17:04:01.216796Z'}, {'id': '28', 'label': 'Basketball', 'slug': 'basketball', 'forceShow': False, 'publishedAt': '2023-11-02 21:04:25.152+00', 'createdAt': '2023-11-02T21:04:25.158Z', 'updatedAt': '2024-07-26T21:06:45.637044Z'}]","['Celtics', 'Nuggets']","['1', '0']",resolved,1.0,"['12944670431531345560590106810621048964427865853608909648325032255878960445251', '31201043990991152121742119265403358824181450707344158293047443353444688971850']"
13440,NBA Preseason: Lakers vs. Warriors ,,2024-10-15 19:38:49.290375+00:00,2024-10-15 12:00:00+00:00,14901.702693,"[{'id': '100254', 'label': 'WNBA', 'slug': 'wnba', 'createdAt': '2024-06-04T20:29:07.012339Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '100866', 'label': 'Preseason', 'slug': 'preseason', 'createdAt': '2024-10-15T17:14:42.458839Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '28', 'label': 'Basketball', 'slug': 'basketball', 'forceShow': False, 'publishedAt': '2023-11-02 21:04:25.152+00', 'createdAt': '2023-11-02T21:04:25.158Z', 'updatedAt': '2024-07-26T21:06:45.637044Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '100398', 'label': ""Today's Sports"", 'slug': 'todays-sports', 'forceShow': False, 'createdAt': '2024-08-29T17:04:01.216796Z'}, {'id': '100867', 'label': 'bronny', 'slug': 'bronny', 'createdAt': '2024-10-15T17:21:56.593543Z'}, {'id': '100868', 'label': 'Steph', 'slug': 'steph', 'createdAt': '2024-10-15T17:21:56.841517Z'}]","['Lakers', 'Warriors']","['0', '1']",resolved,1.0,"['109621972024085243578400845176143272262312694816493661643500473690405825448960', '3621814008078233895662368513601313163492570840391868886876999817460236871623']"
13441,NBA Preseason: Nuggets vs. Thunder,,2024-10-15 19:38:50.666463+00:00,2024-10-15 12:00:00+00:00,6871.213326,"[{'id': '100398', 'label': ""Today's Sports"", 'slug': 'todays-sports', 'forceShow': False, 'createdAt': '2024-08-29T17:04:01.216796Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '28', 'label': 'Basketball', 'slug': 'basketball', 'forceShow': False, 'publishedAt': '2023-11-02 21:04:25.152+00', 'createdAt': '2023-11-02T21:04:25.158Z', 'updatedAt': '2024-07-26T21:06:45.637044Z'}, {'id': '100869', 'label': 'Jokic', 'slug': 'jokic', 'createdAt': '2024-10-15T17:28:32.828519Z'}, {'id': '58', 'label': 'nuggets', 'slug': 'nuggets', 'publishedAt': '2023-11-02 21:15:12.646+00', 'createdAt': '2023-11-02T21:15:12.651Z', 'updatedAt': '2023-11-02T21:15:12.651Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}]","['Nuggets', 'Thunder']","['0', '1']",resolved,1.0,"['18152284674043880719607004441858758512970998889990761161573500816125664036053', '92268776069411122244940175355746425272317219634392245666565479491796701884546']"
13574,Knicks vs. Celtics,,2024-10-21 20:21:11.618657+00:00,2024-10-22 23:30:00+00:00,151903.547231,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Knicks', 'Celtics']","['0', '1']",resolved,1.0,"['51537433643477007242779210563732879640568237541218141905607092112921000853440', '37071273059877939338671694899808877317966176784282235784249765046419380254071']"
13575,Timberwolves vs. Lakers,,2024-10-21 20:21:11.637886+00:00,2024-10-23 02:00:00+00:00,264198.941112,"[{'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}]","['Timberwolves', 'Lakers']","['0', '1']",resolved,1.0,"['4110885919457818695593843180502427642327690223140010267725464122319189457749', '56693184365992075712514104030643795957233982066343635343374848429902528807047']"
13576,Pacers vs. Pistons,,2024-10-21 20:21:11.628150+00:00,2024-10-23 23:00:00+00:00,106377.383564,"[{'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}]","['Pacers', 'Pistons']","['1', '0']",resolved,1.0,"['81180229737598856936383664183185717703200133202687782807067361317316311998916', '92223611574988822761870803523747105819403153817475846289855357402089982075777']"
13577,Bucks vs. 76ers,,2024-10-21 20:22:54.351117+00:00,2024-10-23 23:30:00+00:00,33115.448598,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Bucks', '76ers']","['1', '0']",resolved,1.0,"['69571458237559171235815032302278971241128982013654555968793927449586349328833', '66373769417390751295375074080944203757437757652117163351071267473959112631491']"
13578,Nets vs. Hawks,,2024-10-21 20:22:54.343224+00:00,2024-10-23 23:30:00+00:00,29971.94558,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Nets', 'Hawks']","['0', '1']",resolved,1.0,"['67801272423404117155322617512654122993764547063793027409355574196945307332941', '78368100200719808322688201250632760368872172735430274598980751563667927604002']"
13579,Cavaliers vs. Raptors,,2024-10-21 20:22:54.345067+00:00,2024-10-23 23:30:00+00:00,5127.318441,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Cavaliers', 'Raptors']","['1', '0']",resolved,1.0,"['37871526583579081407485867985899353363495280766149311133613085653981868862724', '8232950141827071971041129005410231045445715517149484587829286594481996190348']"
13580,Magic vs. Heat,,2024-10-21 20:24:56.869011+00:00,2024-10-23 23:30:00+00:00,20028.468373,"[{'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}]","['Magic', 'Heat']","['1', '0']",resolved,1.0,"['60008930295291822752349272573936629144867921829763930621964351755952878115047', '66058141397367464762861726230743089363093355294373568011182143955070260346798']"
